"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4662","0","80.1","33.2","1.4","225"
"","Haryana","5240","0","100.2","50.3","0.2","313"
"","Rajasthan","9184","0","187.4","76.5","1.8","320"
"","Delhi","3591","0","59.9","39.7","-1.9","454"
"","UP","9554","1495","213.2","90.3","-10.5","240"
"","Uttarakhand","1705","40","32.7","24.9","0.4","124"
"","HP","1278","7","23.3","19.2","0.0","66"
"","J&K","1880","100","41.0","34.7","0.5","132"
"","Chandigarh","201","0","3.3","3.1","0.1","35"
"WR","Chhattisgarh","3054","24","66.3","13.4","-3.3","340"
"","Gujarat","10924","11","236.1","46.2","1.4","436"
"","MP","7998","2","154.6","59.5","-0.7","374"
"","Maharashtra","17139","244","355.6","107.4","6.8","474"
"","Goa","401","0","6.9","6.9","-0.6","58"
"","DD","239","0","5.8","5.5","0.3","49"
"","DNH","596","0","14.3","13.7","0.6","76"
"","Essar steel","368","0","7.8","7.8","0.0","46"
"SR","Andhra Pradesh","11583","0","259.0","90.2","4.6","394"
"","Karnataka","8308","300","175.8","15.6","0.1","217"
"","Kerala","3115","75","55.8","29.9","2.1","246"
"","Tamil Nadu","11141","636","250.0","82.8","1.2","391"
"","Pondy","281","0","5.5","5.9","-0.4","31"
"ER","Bihar","1983","550","42.2","39.0","0.6","190"
"","DVC","2593","0","56.9","-12.4","-1.6","210"
"","Jharkhand","944","0","20.3","13.0","-0.6","100"
"","Odisha","3576","0","67.1","15.4","4.2","400"
"","West Bengal","5495","21","103.9","20.6","4.1","380"
"","Sikkim","99","0","1.2","1.4","-0.2","10"
"NER","Arunachal Pradesh","116","4","1.5","1.3","0.2","37"
"","Assam","920","211","15.7","9.9","1.5","146"
"","Manipur","128","2","1.5","1.4","0.1","45"
"","Meghalaya","250","12","4.6","3.1","0.4","56"
"","Mizoram","70","6","1.0","1.0","-0.2","22"
"","Nagaland","104","1","1.6","1.5","-0.2","19"
"","Tripura","196","0","2.9","0.9","-0.6","52"
