"","NR","WR","SR","ER","NER"
"Schedule(MU)","96.8","-85.7","32.1","-42.5","-0.4"
"Actual(MU)","107.1","-102.8","35.0","-44.4","1.1"
"O/D/U/D(MU)","10.3","-17.1","2.9","-1.9","1.5"
