"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","552","1256","594","418","4","2825"
"Hydro","180","24","117","78","19","418"
"Nuclear","26","26","34","0","0","86"
"Gas, Naptha & Diesel","36","43","24","0","29","131"
"RES (Wind, Solar, Biomass & Others)","51","44","119","1","0","215"
"Total","845","1394","887","497","52","3675"
