"","NR","WR","SR","ER","NER"
"Schedule(MU)","123.3","-93.9","29.7","-65.1","8.4"
"Actual(MU)","109.8","-90.7","27.2","-56.4","6.4"
"O/D/U/D(MU)","-13.5","3.2","-2.5","8.7","-2.0"
