"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9501","0","198.1","130.5","0.4","170","0.0"
"","Haryana","8489","100","172.1","128.8","0.5","188","0.0"
"","Rajasthan","8720","0","176.3","70.9","2.8","575","0.0"
"","Delhi","5162","0","105.1","87.4","-0.8","214","0.0"
"","UP","18061","0","372.5","155.0","1.2","573","0.0"
"","Uttarakhand","1947","0","42.5","16.6","1.4","223","0.0"
"","HP","1284","0","26.1","2.4","2.2","216","0.0"
"","J&K","2077","519","42.5","14.7","1.8","264","10.0"
"","Chandigarh","277","0","5.5","5.8","-0.3","0","0.0"
"WR","Chhattisgarh","3227","0","72.7","10.3","-0.2","199","0.0"
"","Gujarat","15238","0","323.2","89.9","-0.2","3092","0.0"
"","MP","7193","2","154.8","77.2","6.4","831","0.1"
"","Maharashtra","18177","0","413.3","108.1","4.3","506","0.0"
"","Goa","464","0","9.6","8.9","0.7","132","0.0"
"","DD","318","0","7.2","6.5","0.7","68","0.0"
"","DNH","744","0","16.5","17.1","-0.6","8","0.0"
"","Essar steel","96","0","2.7","1.7","1.1","248","0.0"
"SR","Andhra Pradesh","6150","0","148.3","26.4","3.6","445","0.0"
"","Telangana","6055","0","128.8","55.6","-4.4","415","0.0"
"","Karnataka","7941","0","171.2","62.5","4.3","439","0.0"
"","Kerala","3267","0","64.9","50.5","1.6","277","0.0"
"","Tamil Nadu","14012","0","307.0","110.7","-4.5","879","0.0"
"","Pondy","368","0","7.8","8.1","-0.2","32","0.0"
"ER","Bihar","3856","0","77.3","77.4","-2.0","220","0.2"
"","DVC","2758","0","64.6","-27.0","-0.3","225","0.0"
"","Jharkhand","1082","0","22.6","17.4","-0.5","85","0.0"
"","Odisha","3898","0","76.2","12.7","1.1","250","0.0"
"","West Bengal","7246","0","143.9","44.0","1.6","250","0.0"
"","Sikkim","65","0","1.1","1.4","-0.4","15","0.0"
"NER","Arunachal Pradesh","70","4","1.9","2.4","-0.5","6","0.0"
"","Assam","1462","193","30.2","22.4","3.0","266","1.3"
"","Manipur","132","2","2.5","2.2","0.3","9","0.0"
"","Meghalaya","249","0","4.6","-0.2","0.2","29","0.0"
"","Mizoram","69","3","1.2","1.1","0.0","19","0.0"
"","Nagaland","143","1","2.2","2.3","-0.3","42","0.0"
"","Tripura","265","3","4.3","2.4","0.5","66","0.0"
