"","NR","WR","SR","ER","NER"
"Schedule(MU)","98.8","-80.8","52.0","-65.8","5.2"
"Actual(MU)","71.6","-75.2","57.7","-53.1","7.9"
"O/D/U/D(MU)","-27.2","5.6","5.7","12.7","2.7"
