"","NR","WR","SR","ER","NER","All India"
"Coal","615","1257","518","481","8","2879"
"Lignite","19","18","34","0","0","71"
"Hydro","337","16","53","84","17","507"
"Nuclear","27","18","37","0","0","81"
"Gas, Naptha & Diesel","40","58","15","0","29","142"
"RES (Wind, Solar, Biomass & Others)","53","107","216","3","0","379"
"Total","1091","1474","873","567","54","4060"
