"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.30","2.35","15.80","18.45","62.66","18.89"
"SR GRID","0.00","0.30","2.35","15.80","18.45","62.66","B. Frequency Profile (%)18.89"
