"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","136.3","-119.2","44.9","-73.8","9.1","-2.6"
"Actual(MU)","127.6","-122.5","49.6","-67.6","13.7","0.8"
"O/D/U/D(MU)","-8.7","-3.3","4.7","6.2","4.6","3.4"
