"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.00","2.73","2.73","73.38","23.89"
"SR GRID","0.00","0.00","0.00","2.73","2.73","73.38","23.89"
