"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4994","0","96.6","81.1","-0.3","214"
"","Haryana","5482","639","105.6","62.8","-2.2","241"
"","Rajasthan","6794","0","144.7","51.6","0.1","199"
"","Delhi","4006","0","82.7","58.5","0.0","178"
"","UP","10128","3335","236.6","109.2","1.3","491"
"","Uttarakhand","1724","75","35.2","13.9","0.8","331"
"","HP","1193","0","23.9","0.1","-0.1","107"
"","J&K","961","100","14.6","6.3","-4.0","0"
"","Chandigarh","224","0","4.4","4.3","0.1","43"
"WR","Chhattisgarh","2701","42","63.7","20.2","-1.9","144"
"","Gujarat","10201","93","220.4","76.8","-0.4","352"
"","MP","6433","0","132.7","65.5","0.3","336"
"","Maharashtra","15728","54","335.4","89.7","1.6","358"
"","Goa","392","0","8.5","8.6","-0.4","45"
"","DD","279","0","6.2","6.1","0.1","42"
"","DNH","640","0","14.9","14.9","0.0","36"
"","Essar steel","324","0","6.8","7.2","-0.4","11"
"SR","Andhra Pradesh","5407","0","126.3","23.7","-0.7","246"
"","Telangana","6471","200","141.5","69.3","1.4","257"
"","Karnataka","7262","300","142.7","11.8","-1.3","303"
"","Kerala","3021","75","54.9","31.4","1.8","287"
"","Tamil Nadu","12317","0","264.6","67.8","0.9","305"
"","Pondy","329","0","6.9","6.8","0.1","41"
"ER","Bihar","2138","200","48.7","46.0","0.2","300"
"","DVC","2824","100","53.0","-7.3","0.6","380"
"","Jharkhand","833","0","18.7","9.6","-1.4","0"
"","Odisha","3468","0","68.0","13.7","0.5","200"
"","West Bengal","7161","0","135.7","39.3","2.0","250"
"","Sikkim","89","0","1.3","1.2","0.2","20"
"NER","Arunachal Pradesh","105","0","1.7","1.8","-0.1","26"
"","Assam","1151","220","23.4","15.2","2.9","214"
"","Manipur","118","2","1.9","2.2","-0.3","38"
"","Meghalaya","237","0","4.6","0.1","-0.3","77"
"","Mizoram","71","3","1.1","1.0","0.0","19"
"","Nagaland","92","1","1.9","1.4","0.0","33"
"","Tripura","186","41","2.9","1.0","-0.2","90"
