"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 2000 hrs; from RLDCs)","49734","40624","36758","20386","2526","150028"
"Peak Shortage (MW)","1526","53","0","580","172","2330"
"Energy Met (MU)","1089","960","849","414","48","3361"
"Hydro Gen(MU)","293","30","61","118","26","527"
"Wind Gen(MU)","28","40","32","----------","----------","100"
"Solar Gen (MU)*","3.48","12.37","24.80","1.35","0.02","42"
"Energy Shortage (MU)","10.1","1.6","0.0","1.7","1.2","14.6"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","50712","41590","37583","20290","2727","151715"
