"","NR","WR","SR","ER","NER"
"Schedule(MU)","111.0","-78.6","34.0","-75.5","10.0"
"Actual(MU)","100.8","-81.2","36.1","-64.8","10.4"
"O/D/U/D(MU)","-10.2","-2.6","2.1","10.7","0.4"
