"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","43373","48652","40135","17362","2334","151856"
"Peak Shortage (MW)","575","0","0","0","24","599"
"Energy Met (MU)","933","1149","890","346","38","3357"
"Hydro Gen (MU)","119","35","83","27","7","270"
"Wind Gen (MU)","4","22","25","----------","----------","51"
"Solar Gen (MU)*","19.73","16.8","44.55","0.21","0.04","81"
"Energy Shortage (MU)","13.9","0.0","0.0","0.0","0.6","14.5"
"Maximum Demand Met during the day (MW) & time (from NLDC SCADA)","44227","54761","42481","18116","2382","155587"
"","18:31","11:03","07:42","18:36","17:22","18:36"
