"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.1","1.2","7.4","1.3","96.1","2.6"
"SR GRID","0.0","0.6","16.6","36.2","17.2","82.2","0.6"
