"","NR","WR","SR","ER","NER"
"Schedule(MU)","87.4","-61.3","46.2","-80.7","6.2"
"Actual(MU)","87.0","-71.2","44.9","-70.4","7.7"
"O/D/U/D(MU)","-0.4","-9.9","-1.3","10.3","1.5"
