"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","148.3","-198.4","121.1","-74.2","3.9","0.6"
"Actual(MU)","145.3","-200.4","114.8","-64.3","4.0","-0.6"
"O/D/U/D(MU)","-3.0","-2.0","-6.2","9.9","0.1","-1.2"
