"","NR","WR","SR","ER","NER"
"Schedule(MU)","107.5","-108.9","51.8","-49.1","-2.9"
"Actual(MU)","119.6","-114.6","55.9","-56.6","-4.5"
"O/D/U/D(MU)","12.1","-5.7","4.1","-7.5","-1.6"
