"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8137","0","184.9","89.4","0.6","223"
"","Haryana","8332","0","163.7","117.8","-2.0","146"
"","Rajasthan","9532","0","206.3","59.7","-0.4","212"
"","Delhi","4952","0","102.0","83.5","-0.2","188"
"","UP","14385","0","299.0","122.2","1.1","338"
"","Uttarakhand","1861","0","41.9","14.6","1.0","213"
"","HP","1239","0","24.6","9.4","1.5","140"
"","J&K","1667","417","31.9","20.4","-2.7","289"
"","Chandigarh","251","0","4.9","5.2","-0.3","34"
"WR","Chhattisgarh","3131","0","73.9","20.9","3.8","489"
"","Gujarat","14578","20","316.8","82.5","-2.6","368"
"","MP","7277","0","152.1","83.2","-1.4","427"
"","Maharashtra","17048","0","352.3","112.2","2.0","356"
"","Goa","396","0","7.9","7.0","0.4","48"
"","DD","313","0","7.0","6.6","0.4","82"
"","DNH","770","0","17.6","17.7","-0.1","23"
"","Essar steel","599","0","12.7","11.5","1.2","197"
"SR","Andhra Pradesh","6456","0","138.4","24.2","4.6","949"
"","Telangana","5569","0","112.7","57.6","0.5","603"
"","Karnataka","8077","0","172.4","62.3","3.5","1168"
"","Kerala","3448","0","64.0","48.5","1.3","196"
"","Tamil Nadu","14345","0","308.1","127.8","3.3","917"
"","Pondy","338","0","7.1","7.2","-0.2","46"
"ER","Bihar","3254","400","63.7","62.0","-0.2","120"
"","DVC","2568","0","63.2","-27.1","0.7","150"
"","Jharkhand","995","0","20.2","17.5","-0.3","100"
"","Odisha","3724","0","75.3","21.2","1.5","180"
"","West Bengal","7786","0","140.5","41.9","1.2","210"
"","Sikkim","80","0","1.5","1.3","0.1","25"
"NER","Arunachal Pradesh","115","0","2.0","1.9","0.1","30"
"","Assam","1545","61","27.7","18.5","2.4","180"
"","Manipur","140","0","1.9","2.1","-0.2","23"
"","Meghalaya","220","0","4.8","0.3","0.9","50"
"","Mizoram","76","0","1.2","1.0","0.1","21"
"","Nagaland","108","1","1.8","1.7","0.0","17"
"","Tripura","261","0","4.6","3.5","1.2","131"
