"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","627","1075","470","446","10","2627"
"Hydro","300","20","49","92","26","487"
"Nuclear","27","29","45","0","0","102"
"Gas, Naptha & Diesel","41","51","24","0","24","140"
"RES (Wind, Solar, Biomass & Others)","53","125","277","1","0","456"
"Total","1047","1301","865","539","60","3812"
