"","NR","WR","SR","ER","NER"
"Schedule(MU)","114.6","-89.0","40.8","-77.8","6.6"
"Actual(MU)","105.2","-86.9","40.5","-67.7","5.9"
"O/D/U/D(MU)","-9.4","2.1","-0.3","10.1","-0.7"
