"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.0","0.1","5.1","20.2","25.5","55.4","19.1"
"SR GRID","0.0","0.1","5.1","20.2","25.5","55.4","19.1"
