"","NR","WR","SR","ER","NER"
"Schedule(MU)","86.0","-76.1","27.2","-43.4","5.3"
"Actual(MU)","74.5","-75.5","29.9","-36.0","7.6"
"O/D/U/D(MU)","-11.5","0.6","2.7","7.4","2.3"
