"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","170.7","-169.6","60.6","-66.8","7.6","2.6"
"Actual(MU)","184.2","-191.1","61.5","-60.5","9.2","3.2"
"O/D/U/D(MU)","13.5","-21.6","0.9","6.2","1.6","0.7"
