"","NR","WR","SR","ER","NER","All India"
"Coal","474","953","449","405","12","2294"
"Lignite","16","11","49","0","0","75"
"Hydro","209","103","99","130","24","564"
"Nuclear","28","31","55","0","0","113"
"Gas, Naptha & Diesel","30","64","15","0","29","138"
"RES (Wind, Solar, Biomass & Others)","48","35","122","2","0","207"
"Total","804","1196","790","536","65","3391"
