"","NR","WR","SR","ER","NER"
"Schedule(MU)","83.4","-54.7","37.4","-75.7","7.2"
"Actual(MU)","84.8","-66.6","36.7","-73.1","11.1"
"O/D/U/D(MU)","1.4","-11.9","-0.7","2.6","3.9"
