"","NR","WR","SR","ER","NER","All India"
"Coal","527","923","337","370","8","2165"
"Lignite","20","8","41","0","0","69"
"Hydro","348","74","131","119","25","696"
"Nuclear","27","31","53","0","0","112"
"Gas, Naptha & Diesel","31","39","15","0","29","113"
"RES (Wind, Solar, Biomass & Others)","68","141","295","2","0","506"
"Total","1021","1216","872","491","61","3661"
