"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4198","0","68.2","30.2","-0.6","388"
"","Haryana","5853","0","105.2","26.3","0.7","1529"
"","Rajasthan","7516","0","162.3","69.4","-3.3","80"
"","Delhi","3826","0","68.1","46.6","-2.4","119"
"","UP","9650","2180","226.5","87.8","-0.8","616"
"","Uttarakhand","1761","40","35.3","24.9","3.2","365"
"","HP","1353","0","25.4","20.6","0.5","150"
"","J&K","1567","100","23.6","27.9","-10.1","45"
"","Chandigarh","222","0","4.0","3.1","0.9","75"
"WR","Chhattisgarh","3067","33","65.9","19.9","3.2","410"
"","Gujarat","10317","29","224.7","31.4","2.9","522"
"","MP","6367","20","126.8","66.4","-3.8","312"
"","Maharashtra","17594","637","368.6","116.2","8.0","815"
"","Goa","397","1","7.9","7.6","-0.5","0"
"","DD","243","1","5.8","5.8","0.0","11"
"","DNH","622","2","14.9","14.6","0.3","42"
"","Essar steel","326","1","6.5","6.9","-0.4","75"
"SR","Andhra Pradesh","11846","500","265.9","87.8","6.8","399"
"","Karnataka","8948","400","182.1","19.9","0.4","253"
"","Kerala","3338","150","60.2","29.1","2.4","205"
"","Tamil Nadu","12126","719","252.2","86.7","-1.2","502"
"","Pondy","282","0","5.4","6.0","-0.5","18"
"ER","Bihar","2000","100","42.3","39.1","0.6","180"
"","DVC","2606","0","57.8","-15.9","-1.8","140"
"","Jharkhand","1066","0","21.3","11.3","-1.8","80"
"","Odisha","3557","0","63.9","13.5","3.4","270"
"","West Bengal","5996","0","110.0","20.2","7.6","430"
"","Sikkim","99","0","2.0","1.4","0.6","18"
"NER","Arunachal Pradesh","110","5","1.3","1.1","0.2","41"
"","Assam","895","256","17.8","10.3","2.5","191"
"","Manipur","118","2","1.5","1.4","0.1","48"
"","Meghalaya","330","15","5.0","3.1","0.5","75"
"","Mizoram","76","9","1.2","0.9","0.1","36"
"","Nagaland","102","1","1.6","1.3","0.1","31"
"","Tripura","189","1","2.9","0.6","-0.1","43"
