"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","196.6","-175.7","85.6","-107.4","-0.7","-1.6"
"Actual(MU)","198.6","-185.7","89.0","-103.8","3.1","1.2"
"O/D/U/D(MU)","2.0","-10.0","3.4","3.6","3.8","2.8"
