"","NR","WR","SR","ER","NER"
"Schedule(MU)","99.6","-82.4","47.0","-67.8","1.0"
"Actual(MU)","107.4","-99.3","48.8","-66.0","2.4"
"O/D/U/D(MU)","7.8","-16.9","1.8","1.8","1.4"
