"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.1","0.8","2.3","0.9","88.0","11.1"
"SR GRID","0.0","0.6","4.8","20.8","5.3","92.6","2.1"
