"","NR","WR","SR","ER","NER","All India"
"Coal","443","1120","434","418","13","2428"
"Lignite","21","15","49","0","0","84"
"Hydro","127","41","96","45","8","318"
"Nuclear","28","28","55","0","0","111"
"Gas, Naptha & Diesel","21","77","16","0","25","139"
"RES (Wind, Solar, Biomass & Others)","61","48","157","2","0","268"
"Total","702","1329","806","465","47","3349"
