"Share of RES in total generation (%)","6.46","7.73","17.49","0.42","0.06","8.63"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","36.80","13.27","29.65","14.75","37.94","23.54"
