"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4029","0","73.5","37.0","2.4","355"
"","Haryana","4636","0","85.0","28.7","0.7","350"
"","Rajasthan","7309","0","148.1","67.5","-3.8","93"
"","Delhi","2807","0","51.9","37.8","-3.1","235"
"","UP","11450","60","235.1","104.7","-4.1","722"
"","Uttarakhand","1378","30","24.5","17.1","-1.3","29"
"","HP","934","0","16.0","7.5","0.6","120"
"","J&K","1857","90","35.8","28.2","-0.7","108"
"","Chandigarh","161","0","2.9","3.1","-0.2","7"
"WR","Chhattisgarh","2469","9","51.6","8.3","-1.3","475"
"","Gujarat","8073","0","173.6","16.0","3.7","600"
"","MP","7753","0","170.1","112.6","-11.1","487"
"","Maharashtra","14541","57","324.5","108.9","-1.5","975"
"","Goa","403","0","7.8","6.2","1.0","139"
"","DD","84","0","2.0","2.9","-0.9","0"
"","DNH","433","0","9.4","10.4","-1.0","96"
"","Essar steel","279","0","4.7","4.2","0.5","51"
"SR","Andhra Pradesh","10153","0","219.6","82.0","1.9","395"
"","Karnataka","6642","400","137.0","20.6","0.1","207"
"","Kerala","3185","150","57.1","34.3","1.2","240"
"","Tamil Nadu","9760","641","205.0","74.3","-0.9","232"
"","Pondy","283","0","5.0","5.9","-0.8","27"
"ER","Bihar","2189","300","40.9","35.6","2.9","398"
"","DVC","2430","300","55.2","-17.7","4.1","485"
"","Jharkhand","926","0","20.0","13.2","-0.8","75"
"","Odisha","3241","0","61.8","12.6","-0.4","215"
"","West Bengal","6847","0","107.3","15.7","-1.2","305"
"","Sikkim","86","0","1.6","1.0","0.6","20"
"NER","Arunachal Pradesh","120","1","1.5","1.6","-0.1","51"
"","Assam","1122","50","18.8","11.9","1.1","228"
"","Manipur","123","2","1.4","2.1","-0.6","13"
"","Meghalaya","242","3","4.4","2.7","0.4","131"
"","Mizoram","63","3","1.1","1.1","-0.2","9"
"","Nagaland","96","1","1.4","1.3","0.0","25"
"","Tripura","187","17","3.3","0.4","0.3","74"
