"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4779","0","93.0","35.0","1.7","249"
"","Haryana","5246","78","101.2","37.7","0.5","265"
"","Rajasthan","8570","0","180.5","69.9","-2.9","158"
"","Delhi","3166","0","57.3","41.8","-1.3","373"
"","UP","9567","2030","203.6","74.2","-2.5","755"
"","Uttarakhand","1556","110","29.3","19.8","1.0","160"
"","HP","1313","0","23.8","16.7","0.6","116"
"","J&K","1830","100","37.2","27.5","3.0","287"
"","Chandigarh","181","0","3.2","3.1","0.1","19"
"WR","Chhattisgarh","2637","17","55.6","16.0","0.7","397"
"","Gujarat","11002","29","247.1","23.7","-0.1","362"
"","MP","9371","29","193.0","111.6","-4.1","395"
"","Maharashtra","17189","695","363.3","119.9","5.5","414"
"","Goa","399","2","7.8","7.4","-0.3","52"
"","DD","244","1","5.8","6.1","-0.3","61"
"","DNH","363","2","14.9","14.4","0.5","64"
"","Essar steel","308","1","6.5","6.5","0.0","51"
"SR","Andhra Pradesh","10447","0","239.4","84.0","2.8","350"
"","Karnataka","7761","650","166.8","21.6","1.1","205"
"","Kerala","2982","450","59.4","30.3","2.4","239"
"","Tamil Nadu","9004","2680","200.0","66.3","2.6","572"
"","Pondy","306","0","6.0","5.9","0.1","43"
"ER","Bihar","1784","200","39.1","35.5","1.0","335"
"","DVC","2466","250","56.4","-21.1","-2.4","380"
"","Jharkhand","953","0","20.1","9.8","-1.7","110"
"","Odisha","3396","0","65.1","8.8","-2.1","245"
"","West Bengal","6063","0","105.4","15.8","-1.0","240"
"","Sikkim","87","0","1.4","1.1","0.3","40"
"NER","Arunachal Pradesh","105","10","1.3","1.1","0.2","54"
"","Assam","1035","76","18.0","12.1","1.5","144"
"","Manipur","114","1","1.4","1.5","-0.2","38"
"","Meghalaya","267","1","5.1","2.9","0.3","65"
"","Mizoram","62","2","1.2","0.9","0.0","25"
"","Nagaland","91","4","1.4","1.1","0.0","30"
"","Tripura","165","29","3.0","0.1","0.8","37"
