"","NR","WR","SR","ER","NER"
"Schedule(MU)","119.6","-78.8","43.6","-91.5","7.2"
"Actual(MU)","112.7","-76.5","44.3","-87.2","6.5"
"O/D/U/D(MU)","-6.9","2.2","0.7","4.3","-0.7"
