"","NR","WR","SR","ER","NER"
"Schedule(MU)","98.8","-68.6","45.5","-69.8","-5.5"
"Actual(MU)","110.3","-89.7","51.6","-67.3","-7.0"
"O/D/U/D(MU)","11.5","-21.0","6.1","2.5","-1.5"
