"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6053","0","120.3","70.2","-0.4","89"
"","Haryana","6528","0","135.7","86.0","0.5","205"
"","Rajasthan","8122","0","179.5","51.4","2.1","290"
"","Delhi","4478","0","94.4","73.5","0.0","302"
"","UP","11858","2285","260.0","118.1","2.8","352"
"","Uttarakhand","1684","75","35.8","21.9","0.3","98"
"","HP","1198","0","25.0","7.2","0.2","121"
"","J&K","1561","100","27.3","16.9","-0.1","251"
"","Chandigarh","261","0","5.1","4.5","0.6","56"
"WR","Chhattisgarh","2936","52","68.4","20.2","-1.6","119"
"","Gujarat","12632","4","279.6","39.9","-1.2","373"
"","MP","7159","8","146.5","79.9","2.0","400"
"","Maharashtra","18695","661","412.5","127.0","3.1","710"
"","Goa","426","0","8.7","9.0","-0.7","18"
"","DD","276","0","6.3","6.4","-0.1","22"
"","DNH","644","1","15.1","14.9","0.2","32"
"","Essar steel","497","1","10.7","12.0","-1.2","11"
"SR","Andhra Pradesh","10500","1000","246.6","82.1","2.5","352"
"","Karnataka","7265","300","154.3","25.6","1.2","257"
"","Kerala","3195","75","63.7","29.6","1.1","170"
"","Tamil Nadu","12594","675","282.5","88.8","0.2","391"
"","Pondy","347","0","7.0","7.1","0.0","32"
"ER","Bihar","2337","0","46.6","44.3","-0.3","160"
"","DVC","2521","0","55.4","-11.2","-2.5","140"
"","Jharkhand","925","0","19.7","9.3","-0.5","40"
"","Odisha","4016","0","82.3","19.3","0.9","240"
"","West Bengal","6907","44","153.7","44.0","6.5","410"
"","Sikkim","77","0","1.1","1.5","-0.4","20"
"NER","Arunachal Pradesh","101","10","1.5","1.4","0.1","34"
"","Assam","1150","262","19.9","12.7","2.7","233"
"","Manipur","101","6","1.5","1.2","0.3","33"
"","Meghalaya","274","14","3.7","1.9","-0.4","91"
"","Mizoram","68","4","1.1","0.9","-0.1","30"
"","Nagaland","102","3","1.6","1.3","0.0","43"
"","Tripura","232","35","3.4","1.1","0.0","59"
