"","NR","WR","SR","ER","NER","All India"
"Coal","490","1220","514","449","11","2685"
"Lignite","23","14","48","0","0","85"
"Hydro","127","49","90","34","6","306"
"Nuclear","24","33","40","0","0","97"
"Gas, Naptha & Diesel","30","35","18","0","20","103"
"RES (Wind, Solar, Biomass & Others)","73","84","189","2","0","348"
"Total","768","1435","899","485","37","3623"
