"","NR","WR","SR","ER","NER"
"Schedule(MU)","97.4","-95.5","37.4","-47.3","5.6"
"Actual(MU)","96.5","-105.3","39.0","-35.7","6.7"
"O/D/U/D(MU)","-0.9","-9.7","1.6","11.6","1.1"
