"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","238.9","-224.8","71.5","-84.4","0.0","1.2"
"Actual(MU)","252.0","-233.8","65.7","-79.0","0.7","5.7"
"O/D/U/D(MU)","13.1","-8.9","-5.8","5.4","0.7","4.4"
