"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5168","0","98.0","44.1","2.1","250"
"","Haryana","5395","28","107.1","50.8","1.1","237"
"","Rajasthan","8816","0","182.9","74.8","-1.0","172"
"","Delhi","3208","0","59.1","42.3","-0.9","297"
"","UP","10164","2425","210.1","91.5","-5.7","491"
"","Uttarakhand","1521","75","28.9","18.9","1.4","195"
"","HP","1328","0","24.8","18.2","1.1","120"
"","J&K","1944","100","38.9","29.5","3.4","269"
"","Chandigarh","185","0","3.4","3.1","0.3","31"
"WR","Chhattisgarh","2883","3","59.1","12.2","-3.6","341"
"","Gujarat","11441","4","250.7","37.4","-2.5","412"
"","MP","9657","3","196.6","114.8","-6.2","378"
"","Maharashtra","17077","544","352.5","119.4","2.5","744"
"","Goa","399","0","7.8","7.1","0.0","36"
"","DD","251","0","6.0","6.0","0.0","13"
"","DNH","638","0","14.7","14.4","0.4","65"
"","Essar steel","417","0","8.7","8.3","0.4","60"
"SR","Andhra Pradesh","10634","0","239.1","77.8","3.0","414"
"","Karnataka","8207","500","170.2","25.7","0.7","478"
"","Kerala","3175","150","58.9","30.8","1.6","194"
"","Tamil Nadu","10648","1317","227.3","70.8","2.6","357"
"","Pondy","295","0","5.7","6.2","-0.5","23"
"ER","Bihar","2011","200","39.2","36.9","0.0","285"
"","DVC","2552","100","57.7","-15.8","1.8","385"
"","Jharkhand","1046","0","21.3","11.1","-1.9","95"
"","Odisha","3260","0","59.8","19.7","-0.2","285"
"","West Bengal","5784","0","101.9","12.2","4.1","365"
"","Sikkim","81","0","1.3","1.3","0.1","20"
"NER","Arunachal Pradesh","109","6","1.3","1.1","0.1","56"
"","Assam","1020","112","18.4","10.6","2.7","188"
"","Manipur","98","6","1.4","1.6","-0.2","54"
"","Meghalaya","270","8","4.7","2.8","0.3","49"
"","Mizoram","62","2","1.1","1.0","-0.1","14"
"","Nagaland","91","3","1.5","1.4","-0.1","32"
"","Tripura","183","2","3.2","-0.1","0.8","79"
