"","NR","WR","SR","ER","NER","Total"
"Thermal (Coal & Lignite)","566","1059","592","441","8","2665"
"Hydro","97","18","40","30","8","192"
"Nuclear","28","24","47","0","0","98"
"Gas, Naptha & Diesel","26","52","47","0","21","145"
"RES (Wind, Solar, Biomass & Others)","44","62","91","2","0","200"
"Total","760","1214","817","473","38","3302"
