"Region","FVI","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.044","0.00","0.69","9.19","9.88","75.91","14.20"
"SR GRID","0.044","0.00","0.69","9.19","9.88","75.91","14.20"
