"","NR","WR","SR","ER","NER"
"Schedule(MU)","93.0","-73.0","39.1","-71.4","10.7"
"Actual(MU)","103.7","-91.6","39.3","-63.1","10.0"
"O/D/U/D(MU)","10.7","-18.6","0.2","8.3","-0.7"
