"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.0","0.8","0.0","73.0","27.0"
"SR GRID","0.0","0.0","2.8","9.9","2.8","90.6","6.6"
