"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9048","0","199.2","118.5","-0.8","95"
"","Haryana","6450","0","126.3","100.1","-2.9","184"
"","Rajasthan","8724","0","188.7","50.5","-1.4","157"
"","Delhi","4344","0","92.4","74.8","-4.2","253"
"","UP","12004","1740","236.1","111.3","-4.3","351"
"","Uttarakhand","1746","75","37.4","20.2","0.2","119"
"","HP","1281","0","26.0","2.0","0.0","67"
"","J&K","1590","100","28.8","17.3","1.0","286"
"","Chandigarh","278","0","5.3","5.3","0.0","48"
"WR","Chhattisgarh","2652","63","64.2","15.5","-1.6","245"
"","Gujarat","12551","40","279.1","40.7","-2.1","706"
"","MP","6410","33","138.6","76.4","-5.1","202"
"","Maharashtra","18092","263","393.8","122.7","1.0","739"
"","Goa","386","27","8.6","7.8","0.5","22"
"","DD","274","1","5.9","6.2","-0.2","16"
"","DNH","631","3","14.1","14.4","-0.3","19"
"","Essar steel","504","2","10.6","10.9","-0.3","11"
"SR","Andhra Pradesh","5932","400","127.8","15.6","0.7","436"
"","Telangana","5103","500","120.3","68.4","4.6","707"
"","Karnataka","7270","450","156.6","23.0","1.3","309"
"","Kerala","3004","700","56.8","33.1","2.2","252"
"","Tamil Nadu","13081","0","289.5","68.7","2.0","432"
"","Pondy","310","40","6.7","6.6","0.1","62"
"ER","Bihar","2378","0","47.5","41.3","3.8","210"
"","DVC","2572","0","51.8","-26.4","-0.7","200"
"","Jharkhand","995","0","20.9","10.0","-0.2","120"
"","Odisha","3578","0","74.0","7.4","1.6","380"
"","West Bengal","6623","0","143.7","39.1","2.0","250"
"","Sikkim","81","0","1.5","1.1","0.3","21"
"NER","Arunachal Pradesh","109","6","1.7","1.4","0.3","46"
"","Assam","1112","272","23.9","14.7","4.1","154"
"","Manipur","110","11","1.5","1.7","-0.1","22"
"","Meghalaya","272","30","4.5","1.3","-0.4","37"
"","Mizoram","73","6","1.1","1.0","-0.1","18"
"","Nagaland","106","7","1.6","1.5","-0.1","35"
"","Tripura","219","49","3.0","1.3","-0.5","57"
