"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","134.4","-114.4","50.5","-77.9","7.9","0.5"
"Actual(MU)","130.7","-116.7","44.4","-70.4","11.6","-0.4"
"O/D/U/D(MU)","-3.7","-2.3","-6.1","7.4","3.7","-1.0"
