"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.2","-83.4","31.7","-51.2","1.8"
"Actual(MU)","107.9","-106.7","38.6","-42.3","3.2"
"O/D/U/D(MU)","4.7","-23.3","6.9","8.9","1.4"
