"","NR","WR","SR","ER","NER"
"Schedule(MU)","132.9","-89.7","40.5","-89.7","5.7"
"Actual(MU)","119.0","-86.0","40.9","-81.5","6.9"
"O/D/U/D(MU)","-13.9","3.7","0.4","8.2","1.2"
