"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","192.6","-190.2","92.7","-96.3","3.0","1.7"
"Actual(MU)","190.8","-202.1","93.7","-90.8","4.2","-4.2"
"O/D/U/D(MU)","-1.8","-11.9","1.0","5.6","1.2","-6.0"
