"","NR","WR","SR","ER","NER"
"Schedule(MU)","126.0","-98.1","19.3","-58.8","5.1"
"Actual(MU)","121.3","-96.3","18.3","-50.7","5.3"
"O/D/U/D(MU)","-4.7","1.8","-1.0","8.1","0.2"
