"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.00","0.96","7.47","8.43","50.05","41.53"
"SR GRID","0.00","0.00","0.96","7.47","8.43","50.05","B. Frequency Profile (%)41.53"
