"Share of RES in total generation (%)","8.53","2.85","19.53","0.17","0.09","7.64"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","27.61","5.73","31.45","6.08","16.84","16.81"
