"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","194.5","-213.1","93.5","-76.2","1.7","0.4"
"Actual(MU)","196.4","-219.4","91.6","-66.0","-0.3","2.3"
"O/D/U/D(MU)","1.9","-6.4","-1.9","10.2","-2.0","1.9"
