"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8479","0","188.6","119.6","-1.3","106"
"","Haryana","7392","0","148.0","124.7","-1.5","427"
"","Rajasthan","7842","0","169.8","55.7","2.4","381"
"","Delhi","4639","0","94.6","84.2","-1.6","116"
"","UP","11917","3750","271.9","133.9","1.7","485"
"","Uttarakhand","1764","40","38.1","13.2","0.2","86"
"","HP","1210","0","24.6","0.6","0.3","102"
"","J&K","1869","467","35.3","20.6","1.2","348"
"","Chandigarh","256","0","5.5","5.7","0.3","31"
"WR","Chhattisgarh","3310","96","75.3","23.0","-0.2","88"
"","Gujarat","13860","0","304.9","65.0","-3.2","1347"
"","MP","6038","0","124.1","67.4","-1.3","190"
"","Maharashtra","17090","45","380.1","120.3","-0.2","794"
"","Goa","384","0","8.0","6.8","0.6","63"
"","DD","291","0","6.0","5.9","0.2","52"
"","DNH","673","0","16.0","16.3","-0.3","8"
"","Essar steel","400","0","6.5","8.6","-2.1","113"
"SR","Andhra Pradesh","6297","0","138.8","24.7","2.6","747"
"","Telangana","5840","0","137.2","90.2","0.7","542"
"","Karnataka","7710","0","161.5","26.0","0.5","761"
"","Kerala","3093","0","55.4","33.2","1.4","229"
"","Tamil Nadu","12745","0","273.1","97.0","1.7","729"
"","Pondy","336","0","6.9","7.0","-0.1","28"
"ER","Bihar","2972","100","61.5","59.2","0.6","150"
"","DVC","2652","0","59.6","-20.0","-0.4","200"
"","Jharkhand","1120","0","20.5","12.9","-1.5","110"
"","Odisha","3683","0","74.7","18.1","2.5","290"
"","West Bengal","6936","0","122.2","49.2","0.9","250"
"","Sikkim","73","0","1.0","1.0","0.1","25"
"NER","Arunachal Pradesh","91","3","1.1","1.7","-0.5","18"
"","Assam","1261","140","24.0","18.4","1.4","150"
"","Manipur","127","1","1.8","2.1","-0.3","36"
"","Meghalaya","273","2","4.6","1.5","-0.5","30"
"","Mizoram","77","1","1.2","1.1","0.1","18"
"","Nagaland","120","1","1.9","1.6","0.2","51"
"","Tripura","206","2","3.4","1.2","0.3","82"
