"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","1.2","5.6","7.4","6.8","80.8","12.4"
"SR GRID","0.0","0.3","3.9","12.0","4.2","91.0","4.9"
