"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","35433","37022","30224","14915","1854","119448"
"Peak Shortage (MW)","1787","123","1559","100","231","3800"
"Energy Met (MU)","785","860","742","286","34","2707"
"Hydro Gen(MU)","97","45","82","16","7","248"
"Wind Gen(MU)","5","32","13","----------","----------","50"
