"","NR","WR","SR","ER","NER"
"Schedule(MU)","104.3","-75.2","38.6","-73.0","6.6"
"Actual(MU)","95.8","-83.1","40.8","-65.8","10.1"
"O/D/U/D(MU)","-8.5","-7.9","2.2","7.2","3.5"
