"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","289.3","-239.2","49.0","-93.9","-5.1","0.1"
"Actual(MU)","307.0","-252.3","33.7","-83.9","-5.2","-0.6"
"O/D/U/D(MU)","17.8","-13.0","-15.3","10.0","-0.1","-0.6"
