"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","40710","46506","43647","18591","2459","151913"
"Peak Shortage (MW)","1140","6","33","0","93","1272"
"Energy Met (MU)","873","1152","1011","372","41","3450"
"Hydro Gen(MU)","119","26","76","35","7","262"
"Wind Gen(MU)","19","27","27","----------","----------","73"
"Solar Gen (MU)*","17.63","19.45","56.14","0.83","0.02","94"
"Energy Shortage (MU)","10.0","0.0","0.0","0.0","1.7","11.7"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","41665","50608","44989","19040","2460","153528"
