"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5250","0","103.5","35.6","-0.4","119","0.0"
"","Haryana","5999","0","117.6","57.0","0.7","206","0.0"
"","Rajasthan","10481","0","201.7","70.8","0.1","294","0.0"
"","Delhi","3369","0","58.3","45.6","-0.8","187","0.0"
"","UP","11686","180","277.4","88.7","-0.6","179","1.6"
"","Uttarakhand","1831","0","33.9","19.2","-0.8","76","0.0"
"","HP","1460","0","26.2","20.4","0.3","105","0.2"
"","J&K","2014","503","42.8","39.0","-0.9","176","10.1"
"","Chandigarh","187","0","3.2","3.3","-0.1","38","0.0"
"WR","Chhattisgarh","3216","0","67.9","6.8","-1.2","227","0.0"
"","Gujarat","14706","0","314.6","101.9","0.2","526","0.0"
"","MP","12007","0","236.0","152.7","-1.8","531","0.0"
"","Maharashtra","20127","0","412.1","152.6","1.5","396","0.0"
"","Goa","419","0","9.4","8.9","0.0","38","0.0"
"","DD","315","0","7.0","6.5","0.6","60","0.0"
"","DNH","734","0","16.8","16.4","0.4","64","0.0"
"","Essar steel","497","0","10.3","9.8","0.5","209","0.0"
"SR","Andhra Pradesh","7122","0","148.7","44.3","-3.1","586","0.0"
"","Telangana","7246","0","146.8","54.6","-0.7","387","0.0"
"","Karnataka","8967","0","183.2","79.8","2.1","522","0.0"
"","Kerala","3155","0","59.7","46.1","0.6","219","0.0"
"","Tamil Nadu","11892","0","232.8","142.6","-1.5","991","0.0"
"","Pondy","303","0","6.0","6.7","-0.7","33","0.0"
"ER","Bihar","3582","0","59.5","54.1","-0.9","0","0.5"
"","DVC","2972","0","66.9","-38.9","0.1","0","0.0"
"","Jharkhand","1030","0","22.7","13.9","-0.9","0","0.0"
"","Odisha","3716","0","66.4","26.6","3.9","0","0.0"
"","West Bengal","5913","0","93.6","17.2","2.4","0","0.0"
"","Sikkim","101","0","1.5","1.6","-0.1","0","0.0"
"NER","Arunachal Pradesh","112","4","2.3","1.8","0.5","3","0.0"
"","Assam","1395","21","22.2","18.3","0.2","68","0.4"
"","Manipur","170","8","2.5","2.7","-0.2","20","0.0"
"","Meghalaya","314","0","5.8","3.4","-0.1","74","0.0"
"","Mizoram","88","4","1.3","1.3","0.0","21","0.1"
"","Nagaland","107","6","2.0","1.6","0.0","18","0.0"
"","Tripura","216","3","3.2","1.6","-0.2","7","0.0"
