"Region","FVI","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.040","0.00","0.21","6.56","6.77","76.69","16.54"
"SR GRID","0.040","0.00","0.21","6.56","6.77","76.69","16.54"
