"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW) (at 1900 hrs; from RLDCs)","39444","45345","40865","18211","2414","146279"
"Peak Shortage (MW)","555","0","0","0","46","601"
"Energy Met (MU)","876","1065","920","356","41","3258"
"Hydro Gen(MU)","98","27","84","26","8","243"
"Wind Gen(MU)","9","38","15","----------","----------","63"
"Solar Gen (MU)*","6.76","15.85","42.80","0.58","0.02","66"
"Energy Shortage (MU)","11.0","0.0","1.2","0.0","0.4","12.6"
"Maximum Demand Met during the day (MW) (from NLDC SCADA)","45779","51325","42304","18740","2486","154125"
